idCredito,total_attempts,total_successes,total_failures,total_amount_paid,total_amount_due,success_rate,repayment_ratio
637872,1,0,1,1225.3,1225.3,0.0,1.0
637864,2,0,2,2658.3,2658.3,0.0,1.0
329219,4,0,4,3500.46,3500.46,0.0,1.0
711239,2,0,2,1159.04,1159.04,0.0,1.0
582225,2,0,2,1312.08,1312.08,0.0,1.0
637846,2,0,2,1759.49,1759.49,0.0,1.0
736711,5,0,5,3147.6,3147.6,0.0,1.0
711231,1,0,1,347.53,347.53,0.0,1.0
582102,1,0,1,888.91,888.91,0.0,1.0
520534,1,0,1,164.71,164.71,0.0,1.0
679301,1,0,1,478.64,478.64,0.0,1.0
582274,1,0,1,287.17,287.17,0.0,1.0
679305,1,0,1,572.85,572.85,0.0,1.0
637828,1,0,1,144.01,144.01,0.0,1.0
637826,1,0,1,350.0,350.0,0.0,1.0
582291,1,0,1,335.84,335.84,0.0,1.0
679322,37,0,37,47073.25,47073.25,0.0,1.0
679335,1,0,1,134.0,134.0,0.0,1.0
637824,1,0,1,208.39,208.39,0.0,1.0
582324,1,0,1,405.3,405.3,0.0,1.0
736741,10,0,10,8662.9,8662.9,0.0,1.0
711244,2,0,2,731.32,731.32,0.0,1.0
711247,22,0,22,16831.54,16831.54,0.0,1.0
581890,1,0,1,2764.3,2764.3,0.0,1.0
711283,1,0,1,1077.4,1077.4,0.0,1.0
679073,1,0,1,1743.47,1743.47,0.0,1.0
711304,21,0,21,39825.87,39825.87,0.0,1.0
679087,1,0,1,457.78,457.78,0.0,1.0
637958,1,0,1,245.06,245.06,0.0,1.0
637957,1,0,1,408.43,408.43,0.0,1.0
679106,1,0,1,152.32,152.32,0.0,1.0
711289,2,0,2,1533.34,1533.34,0.0,1.0
653135,33,0,33,37137.43,37137.43,0.0,1.0
637953,1,0,1,459.97,459.97,0.0,1.0
679152,1,0,1,510.01,510.01,0.0,1.0
329565,4,0,4,8657.05,8657.05,0.0,1.0
679175,36,0,36,45801.0,45801.0,0.0,1.0
637944,1,0,1,616.02,616.02,0.0,1.0
653147,6,0,6,10757.18,10757.18,0.0,1.0
581990,1,0,1,764.51,764.51,0.0,1.0
711281,22,0,22,20952.8,20952.8,0.0,1.0
711272,2,0,2,2294.0,2294.0,0.0,1.0
736636,4,0,4,689.44,689.44,0.0,1.0
711269,1,0,1,1738.57,1738.57,0.0,1.0
711268,1,0,1,1488.12,1488.12,0.0,1.0
487226,2,0,2,2738.86,2738.86,0.0,1.0
679184,36,0,36,43294.23,43294.23,0.0,1.0
736652,10,0,10,8600.7,8600.7,0.0,1.0
679229,1,0,1,1166.11,1166.11,0.0,1.0
637911,1,0,1,300.01,300.01,0.0,1.0
637909,1,0,1,2837.09,2837.09,0.0,1.0
719783,1,0,1,349.03,349.03,0.0,1.0
638175,1,0,1,612.65,612.65,0.0,1.0
736749,10,0,10,11706.6,11706.6,0.0,1.0
678463,1,0,1,160.99,160.99,0.0,1.0
678429,1,0,1,991.72,991.72,0.0,1.0
736075,11,0,11,9656.68,9656.68,0.0,1.0
580806,1,0,1,483.86,483.86,0.0,1.0
638449,1,0,1,503.02,503.02,0.0,1.0
678435,1,0,1,1125.97,1125.97,0.0,1.0
678453,1,0,1,184.0,184.0,0.0,1.0
736086,10,0,10,12701.7,12701.7,0.0,1.0
538840,1,0,1,341.94,341.94,0.0,1.0
580829,1,0,1,297.92,297.92,0.0,1.0
580832,2,0,2,1232.94,1232.94,0.0,1.0
638440,1,0,1,862.1,862.1,0.0,1.0
711661,1,0,1,406.81,406.81,0.0,1.0
678480,1,0,1,289.76,289.76,0.0,1.0
580804,2,0,2,1652.22,1652.22,0.0,1.0
678497,1,0,1,732.69,732.69,0.0,1.0
678502,2,0,2,1575.72,1575.72,0.0,1.0
580878,1,0,1,837.65,837.65,0.0,1.0
736135,4,0,4,10833.28,10833.28,0.0,1.0
638421,1,0,1,457.31,457.31,0.0,1.0
678503,1,0,1,651.91,651.91,0.0,1.0
736148,1,0,1,695.41,695.41,0.0,1.0
638420,1,0,1,411.33,411.33,0.0,1.0
678505,1,0,1,965.98,965.98,0.0,1.0
580942,1,0,1,1000.84,1000.84,0.0,1.0
638416,1,0,1,2764.45,2764.45,0.0,1.0
580967,3,0,3,2867.4900000000002,2867.4900000000002,0.0,1.0
736073,11,0,11,9658.0,9658.0,0.0,1.0
659100,1,0,1,1537.3,1537.3,0.0,1.0
678512,1,0,1,929.5,929.5,0.0,1.0
678394,4,0,4,3544.0,3544.0,0.0,1.0
735968,4,0,4,4380.56,4380.56,0.0,1.0
678282,1,0,1,1541.54,1541.54,0.0,1.0
580500,1,0,1,281.98,281.98,0.0,1.0
678358,1,0,1,230.85,230.85,0.0,1.0
580517,1,0,1,1221.31,1221.31,0.0,1.0
638531,3,0,3,899.94,899.94,0.0,1.0
638526,1,0,1,443.23,443.23,0.0,1.0
488721,1,0,1,71.18,71.18,0.0,1.0
678387,1,0,1,199.94,199.94,0.0,1.0
638503,1,0,1,512.83,512.83,0.0,1.0
678391,1,0,1,190.95,190.95,0.0,1.0
580643,1,0,1,751.89,751.89,0.0,1.0
725035,1,0,1,876.28,876.28,0.0,1.0
580756,1,0,1,695.42,695.42,0.0,1.0
638488,3,0,3,2090.16,2090.16,0.0,1.0
711710,1,0,1,1443.66,1443.66,0.0,1.0
711701,1,0,1,382.33,382.33,0.0,1.0
638470,3,0,3,886.47,886.47,0.0,1.0
736037,11,0,11,13892.67,13892.67,0.0,1.0
678403,1,0,1,635.22,635.22,0.0,1.0
638466,7,0,7,1188.8300000000002,1188.8300000000002,0.0,1.0
580747,1,0,1,415.32,415.32,0.0,1.0
736055,11,0,11,16499.670000000002,16499.670000000002,0.0,1.0
711690,1,0,1,542.41,542.41,0.0,1.0
736067,1,0,1,678.02,678.02,0.0,1.0
725019,2,0,2,2697.1,2697.1,0.0,1.0
580977,1,0,1,324.49,324.49,0.0,1.0
638391,1,0,1,1303.7,1303.7,0.0,1.0
736378,1,0,1,2273.47,2273.47,0.0,1.0
678746,1,0,1,590.9,590.9,0.0,1.0
678669,1,0,1,1622.44,1622.44,0.0,1.0
638258,1,0,1,1028.34,1028.34,0.0,1.0
488125,2,0,2,1306.78,1306.78,0.0,1.0
678683,1,0,1,110.11,110.11,0.0,1.0
736290,1,0,1,499.84,499.84,0.0,1.0
736297,2,0,2,1391.3,1391.3,0.0,1.0
678691,1,0,1,1564.44,1564.44,0.0,1.0
581259,1,0,1,1043.63,1043.63,0.0,1.0
659054,17,0,17,18580.15,18580.15,0.0,1.0
678700,1,0,1,222.99,222.99,0.0,1.0
678721,1,0,1,571.32,571.32,0.0,1.0
724971,15,0,15,40969.8,40969.8,0.0,1.0
678774,1,0,1,1463.15,1463.15,0.0,1.0
678665,21,0,21,8653.050000000001,8653.050000000001,0.0,1.0
678785,37,0,37,47268.68,47268.68,0.0,1.0
638208,1,0,1,935.54,935.54,0.0,1.0
331044,1,0,1,139.01,139.01,0.0,1.0
581324,1,0,1,578.99,578.99,0.0,1.0
736355,2,0,2,5347.32,5347.32,0.0,1.0
653030,1,0,1,271.21,271.21,0.0,1.0
520111,2,0,2,3689.98,3689.98,0.0,1.0
638193,1,0,1,130.99,130.99,0.0,1.0
719770,18,0,18,17700.48,17700.48,0.0,1.0
581349,1,0,1,923.26,923.26,0.0,1.0
678805,36,0,36,45801.0,45801.0,0.0,1.0
736376,10,0,10,13699.6,13699.6,0.0,1.0
581189,16,0,16,10864.76,10864.76,0.0,1.0
736284,4,0,4,5079.48,5079.48,0.0,1.0
678539,1,0,1,741.78,741.78,0.0,1.0
581117,1,0,1,199.49,199.49,0.0,1.0
736196,2,0,2,3685.96,3685.96,0.0,1.0
736198,10,0,10,11836.0,11836.0,0.0,1.0
678561,1,0,1,3299.53,3299.53,0.0,1.0
659070,1,0,1,104.98,104.98,0.0,1.0
711594,1,0,1,764.66,764.66,0.0,1.0
638346,1,0,1,879.36,879.36,0.0,1.0
736211,2,0,2,6581.32,6581.32,0.0,1.0
638331,24,0,24,19932.0,19932.0,0.0,1.0
488348,1,0,1,590.67,590.67,0.0,1.0
678574,3,0,3,2346.66,2346.66,0.0,1.0
581113,1,0,1,546.47,546.47,0.0,1.0
678575,1,0,1,231.81,231.81,0.0,1.0
638310,1,0,1,335.98,335.98,0.0,1.0
581177,1,0,1,1025.67,1025.67,0.0,1.0
678584,1,0,1,144.88,144.88,0.0,1.0
711567,3,0,3,7760.82,7760.82,0.0,1.0
678611,1,0,1,866.65,866.65,0.0,1.0
520007,1,0,1,341.52,341.52,0.0,1.0
678615,36,0,36,42199.56,42199.56,0.0,1.0
724996,16,0,16,20618.72,20618.72,0.0,1.0
678618,4,0,4,1199.88,1199.88,0.0,1.0
736266,1,0,1,1324.6,1324.6,0.0,1.0
678623,2,0,2,3058.66,3058.66,0.0,1.0
678644,1,0,1,1404.74,1404.74,0.0,1.0
581161,1,0,1,1709.44,1709.44,0.0,1.0
407142,2,0,2,1455.95,1455.95,0.0,1.0
582334,1,0,1,1147.0,1147.0,0.0,1.0
711216,1,0,1,678.38,678.38,0.0,1.0
680288,1,0,1,1083.44,1083.44,0.0,1.0
737354,9,0,9,17647.739999999998,17647.739999999998,0.0,1.0
637421,3,0,3,4587.96,4587.96,0.0,1.0
679969,1,0,1,1199.51,1199.51,0.0,1.0
485642,1,0,1,1244.21,1244.21,0.0,1.0
737310,1,0,1,353.23,353.23,0.0,1.0
710850,21,0,21,7989.870000000001,7989.870000000001,0.0,1.0
679987,1,0,1,713.87,713.87,0.0,1.0
724777,1,0,1,123.4,123.4,0.0,1.0
680015,1,0,1,202.83,202.83,0.0,1.0
583355,1,0,1,369.55,369.55,0.0,1.0
680050,1,0,1,764.66,764.66,0.0,1.0
637395,1,0,1,2778.85,2778.85,0.0,1.0
737346,9,0,9,18665.55,18665.55,0.0,1.0
680073,36,0,36,39346.200000000004,39346.200000000004,0.0,1.0
637428,3,0,3,3206.07,3206.07,0.0,1.0
737355,9,0,9,23705.909999999996,23705.909999999996,0.0,1.0
637382,23,0,23,18442.35,18442.35,0.0,1.0
737358,9,0,9,4462.0199999999995,4462.0199999999995,0.0,1.0
583395,1,0,1,880.37,880.37,0.0,1.0
637369,1,0,1,408.43,408.43,0.0,1.0
737369,9,0,9,17963.82,17963.82,0.0,1.0
710820,15,0,15,18999.9,18999.9,0.0,1.0
637362,1,0,1,130.3,130.3,0.0,1.0
485467,1,0,1,695.42,695.42,0.0,1.0
737378,10,0,10,9222.5,9222.5,0.0,1.0
737382,1,0,1,156.57,156.57,0.0,1.0
583454,1,0,1,888.91,888.91,0.0,1.0
538307,3,0,3,1332.8400000000001,1332.8400000000001,0.0,1.0
679919,1,0,1,813.62,813.62,0.0,1.0
637353,12,0,12,12944.52,12944.52,0.0,1.0
637470,1,0,1,816.87,816.87,0.0,1.0
710928,1,0,1,2875.0,2875.0,0.0,1.0
637513,1,0,1,938.9,938.9,0.0,1.0
637510,1,0,1,822.67,822.67,0.0,1.0
679841,1,0,1,807.97,807.97,0.0,1.0
538366,4,0,4,755.26,755.26,0.0,1.0
637502,1,0,1,164.88,164.88,0.0,1.0
637487,2,0,2,579.52,579.52,0.0,1.0
737205,5,0,5,3023.5,3023.5,0.0,1.0
737207,9,0,9,22501.89,22501.89,0.0,1.0
520661,2,0,2,490.97,490.97,0.0,1.0
679895,1,0,1,1457.04,1457.04,0.0,1.0
583177,1,0,1,915.36,915.36,0.0,1.0
538356,1,0,1,1250.13,1250.13,0.0,1.0
637429,1,0,1,260.76,260.76,0.0,1.0
637468,1,0,1,558.01,558.01,0.0,1.0
737224,9,0,9,13169.97,13169.97,0.0,1.0
637465,1,0,1,457.01,457.01,0.0,1.0
408621,1,0,1,341.89,341.89,0.0,1.0
583207,1,0,1,797.82,797.82,0.0,1.0
679910,23,0,23,14608.699999999999,14608.699999999999,0.0,1.0
583224,1,0,1,599.61,599.61,0.0,1.0
637452,1,0,1,300.01,300.01,0.0,1.0
583227,6,0,6,6474.84,6474.84,0.0,1.0
637436,1,0,1,386.01,386.01,0.0,1.0
679912,1,0,1,382.33,382.33,0.0,1.0
737269,9,0,9,10786.68,10786.68,0.0,1.0
737387,11,0,11,2971.6499999999996,2971.6499999999996,0.0,1.0
325678,1,0,1,248.56,248.56,0.0,1.0
637525,1,0,1,1985.21,1985.21,0.0,1.0
658859,35,0,35,29724.45,29724.45,0.0,1.0
520797,1,0,1,391.57,391.57,0.0,1.0
710707,21,0,21,10954.02,10954.02,0.0,1.0
637233,5,0,5,1727.6,1727.6,0.0,1.0
583821,1,0,1,1000.05,1000.05,0.0,1.0
737488,1,0,1,372.74,372.74,0.0,1.0
637200,1,0,1,764.66,764.66,0.0,1.0
680242,1,0,1,635.83,635.83,0.0,1.0
680245,5,0,5,1390.8500000000001,1390.8500000000001,0.0,1.0
485215,2,0,2,1112.66,1112.66,0.0,1.0
637191,2,0,2,701.74,701.74,0.0,1.0
583859,11,0,11,11274.230000000001,11274.230000000001,0.0,1.0
637188,1,0,1,98.84,98.84,0.0,1.0
583866,1,0,1,1912.66,1912.66,0.0,1.0
710711,1,0,1,598.49,598.49,0.0,1.0
583872,1,0,1,652.06,652.06,0.0,1.0
710681,2,0,2,3443.98,3443.98,0.0,1.0
680257,1,0,1,578.73,578.73,0.0,1.0
583877,1,0,1,782.3,782.3,0.0,1.0
637175,1,0,1,677.98,677.98,0.0,1.0
637172,1,0,1,424.09,424.09,0.0,1.0
724746,15,0,15,34837.8,34837.8,0.0,1.0
710677,21,0,21,27500.55,27500.55,0.0,1.0
637166,1,0,1,224.64,224.64,0.0,1.0
637158,1,0,1,496.42,496.42,0.0,1.0
680258,1,0,1,1510.75,1510.75,0.0,1.0
538212,2,0,2,453.83,453.83,0.0,1.0
637237,1,0,1,368.59,368.59,0.0,1.0
737474,1,0,1,268.12,268.12,0.0,1.0
680106,1,0,1,114.83,114.83,0.0,1.0
538276,1,0,1,301.29,301.29,0.0,1.0
737398,1,0,1,123.12,123.12,0.0,1.0
724776,16,0,16,11317.92,11317.92,0.0,1.0
724775,6,0,6,8587.029999999999,8587.029999999999,0.0,1.0
637333,1,0,1,746.98,746.98,0.0,1.0
737412,10,0,10,14332.4,14332.4,0.0,1.0
724768,15,0,15,38631.9,38631.9,0.0,1.0
637314,1,0,1,253.72,253.72,0.0,1.0
583546,1,0,1,699.98,699.98,0.0,1.0
637312,1,0,1,349.98,349.98,0.0,1.0
637311,3,0,3,782.16,782.16,0.0,1.0
710779,2,0,2,6117.28,6117.28,0.0,1.0
737426,9,0,9,5267.97,5267.97,0.0,1.0
680157,1,0,1,1017.12,1017.12,0.0,1.0
637249,1,0,1,2778.47,2778.47,0.0,1.0
637290,4,0,4,2224.9500000000003,2224.9500000000003,0.0,1.0
658887,17,0,17,25232.93,25232.93,0.0,1.0
680191,1,0,1,286.84,286.84,0.0,1.0
520768,1,0,1,374.61,374.61,0.0,1.0
637275,2,0,2,620.22,620.22,0.0,1.0
737456,10,0,10,12563.599999999999,12563.599999999999,0.0,1.0
680202,36,0,36,9836.64,9836.64,0.0,1.0
680206,1,0,1,941.79,941.79,0.0,1.0
637258,1,0,1,719.64,719.64,0.0,1.0
737461,9,0,9,36875.88,36875.88,0.0,1.0
637257,1,0,1,490.12,490.12,0.0,1.0
637253,1,0,1,847.47,847.47,0.0,1.0
538375,1,0,1,235.08,235.08,0.0,1.0
637534,1,0,1,866.0,866.0,0.0,1.0
637806,8,0,8,3882.5999999999995,3882.5999999999995,0.0,1.0
736912,3,0,3,4607.34,4607.34,0.0,1.0
637723,1,0,1,535.51,535.51,0.0,1.0
520604,1,0,1,205.13,205.13,0.0,1.0
679467,1,0,1,1922.68,1922.68,0.0,1.0
637722,11,0,11,8647.8,8647.8,0.0,1.0
679470,26,0,26,22514.510000000002,22514.510000000002,0.0,1.0
736868,10,0,10,32803.1,32803.1,0.0,1.0
679473,36,0,36,45801.0,45801.0,0.0,1.0
582575,3,0,3,1736.56,1736.56,0.0,1.0
736887,10,0,10,13012.5,13012.5,0.0,1.0
679480,2,0,2,1483.3000000000002,1483.3000000000002,0.0,1.0
736898,4,0,4,12947.56,12947.56,0.0,1.0
582576,1,0,1,900.16,900.16,0.0,1.0
724871,15,0,15,17530.050000000003,17530.050000000003,0.0,1.0
637734,1,0,1,1641.23,1641.23,0.0,1.0
637703,4,0,4,464.52,464.52,0.0,1.0
637690,12,0,12,70849.56,70849.56,0.0,1.0
736930,11,0,11,25258.86,25258.86,0.0,1.0
637687,1,0,1,162.72,162.72,0.0,1.0
679520,1,0,1,590.67,590.67,0.0,1.0
637673,3,0,3,762.5699999999999,762.5699999999999,0.0,1.0
637670,1,0,1,1591.87,1591.87,0.0,1.0
736945,10,0,10,15486.099999999999,15486.099999999999,0.0,1.0
736950,2,0,2,6757.58,6757.58,0.0,1.0
679521,36,0,36,45801.0,45801.0,0.0,1.0
679536,18,0,18,111681.54,111681.54,0.0,1.0
637659,1,0,1,338.99,338.99,0.0,1.0
637732,1,0,1,650.02,650.02,0.0,1.0
679442,36,0,36,15266.88,15266.88,0.0,1.0
736967,11,0,11,19368.69,19368.69,0.0,1.0
328526,6,0,6,1946.34,1946.34,0.0,1.0
582366,2,0,2,574.34,574.34,0.0,1.0
486895,9,0,9,7559.55,7559.55,0.0,1.0
582370,1,0,1,923.1,923.1,0.0,1.0
736773,10,0,10,4798.0,4798.0,0.0,1.0
637794,1,0,1,169.49,169.49,0.0,1.0
637792,1,0,1,364.0,364.0,0.0,1.0
486834,1,0,1,159.03,159.03,0.0,1.0
637786,1,0,1,608.54,608.54,0.0,1.0
724887,1,0,1,1720.48,1720.48,0.0,1.0
679385,1,0,1,372.74,372.74,0.0,1.0
736806,10,0,10,8780.0,8780.0,0.0,1.0
679394,1,0,1,828.51,828.51,0.0,1.0
486765,17,0,17,4560.59,4560.59,0.0,1.0
736844,10,0,10,2946.5,2946.5,0.0,1.0
637782,6,0,6,1168.32,1168.32,0.0,1.0
582422,5,0,5,3063.25,3063.25,0.0,1.0
637777,1,0,1,816.87,816.87,0.0,1.0
736821,11,0,11,5987.96,5987.96,0.0,1.0
679405,5,0,5,2781.65,2781.65,0.0,1.0
736829,5,0,5,5794.8,5794.8,0.0,1.0
637753,1,0,1,313.0,313.0,0.0,1.0
679422,36,0,36,45801.0,45801.0,0.0,1.0
637749,1,0,1,988.18,988.18,0.0,1.0
736836,10,0,10,11105.699999999999,11105.699999999999,0.0,1.0
711156,1,0,1,1041.92,1041.92,0.0,1.0
679432,1,0,1,1195.99,1195.99,0.0,1.0
582674,15,0,15,4977.6,4977.6,0.0,1.0
736969,10,0,10,10472.7,10472.7,0.0,1.0
710931,1,0,1,3059.29,3059.29,0.0,1.0
582967,1,0,1,341.89,341.89,0.0,1.0
737068,11,0,11,10055.869999999999,10055.869999999999,0.0,1.0
637601,2,0,2,1448.82,1448.82,0.0,1.0
679682,26,0,26,20078.76,20078.76,0.0,1.0
637596,1,0,1,677.98,677.98,0.0,1.0
737075,11,0,11,6438.63,6438.63,0.0,1.0
582874,2,0,2,556.34,556.34,0.0,1.0
582878,1,0,1,430.03,430.03,0.0,1.0
737087,11,0,11,6996.44,6996.44,0.0,1.0
737091,11,0,11,6383.96,6383.96,0.0,1.0
582929,1,0,1,1708.73,1708.73,0.0,1.0
710991,4,0,4,3879.96,3879.96,0.0,1.0
737102,3,0,3,617.01,617.01,0.0,1.0
737107,2,0,2,3290.66,3290.66,0.0,1.0
653174,5,0,5,6881.950000000001,6881.950000000001,0.0,1.0
737111,2,0,2,926.38,926.38,0.0,1.0
637568,2,0,2,648.98,648.98,0.0,1.0
637564,2,0,2,787.86,787.86,0.0,1.0
637561,1,0,1,578.11,578.11,0.0,1.0
679733,2,0,2,456.01,456.01,0.0,1.0
658913,18,0,18,71946.18000000001,71946.18000000001,0.0,1.0
679756,22,0,22,13530.0,13530.0,0.0,1.0
486032,1,0,1,51.8,51.8,0.0,1.0
724823,16,0,16,14816.8,14816.8,0.0,1.0
637547,2,0,2,417.94,417.94,0.0,1.0
679770,26,0,26,45633.590000000004,45633.590000000004,0.0,1.0
679779,36,0,36,65190.24,65190.24,0.0,1.0
637602,2,0,2,2402.14,2402.14,0.0,1.0
582848,1,0,1,511.46,511.46,0.0,1.0
711084,1,0,1,1700.01,1700.01,0.0,1.0
679644,2,0,2,2598.92,2598.92,0.0,1.0
724850,1,0,1,1750.92,1750.92,0.0,1.0
658918,21,0,21,24766.07,24766.07,0.0,1.0
486433,2,0,2,834.5,834.5,0.0,1.0
637640,1,0,1,1383.74,1383.74,0.0,1.0
520612,7,0,7,2151.0499999999997,2151.0499999999997,0.0,1.0
711067,1,0,1,273.48,273.48,0.0,1.0
679579,1,0,1,249.07,249.07,0.0,1.0
582732,1,0,1,1390.81,1390.81,0.0,1.0
679599,36,0,36,19847.159999999996,19847.159999999996,0.0,1.0
637636,1,0,1,1499.78,1499.78,0.0,1.0
582746,1,0,1,1593.36,1593.36,0.0,1.0
582750,1,0,1,233.3,233.3,0.0,1.0
679646,2,0,2,1390.82,1390.82,0.0,1.0
653173,8,0,8,2503.12,2503.12,0.0,1.0
637621,2,0,2,999.98,999.98,0.0,1.0
711039,1,0,1,606.42,606.42,0.0,1.0
711022,21,0,21,39825.87,39825.87,0.0,1.0
737032,2,0,2,1535.82,1535.82,0.0,1.0
711016,1,0,1,614.33,614.33,0.0,1.0
582806,1,0,1,359.82,359.82,0.0,1.0
679656,1,0,1,188.27,188.27,0.0,1.0
637609,1,0,1,608.54,608.54,0.0,1.0
486195,2,0,2,829.72,829.72,0.0,1.0
711008,22,0,22,19314.68,19314.68,0.0,1.0
737058,10,0,10,13874.7,13874.7,0.0,1.0
637603,2,0,2,693.76,693.76,0.0,1.0
678228,36,0,36,57104.64,57104.64,0.0,1.0
659104,1,0,1,747.5,747.5,0.0,1.0
659105,41,0,41,77665.51,77665.51,0.0,1.0
640161,1,0,1,203.38,203.38,0.0,1.0
539599,1,0,1,1338.16,1338.16,0.0,1.0
492297,5,0,5,1911.6499999999999,1911.6499999999999,0.0,1.0
539560,4,0,4,1539.08,1539.08,0.0,1.0
57667,4,0,4,782.84,782.84,0.0,1.0
676638,1,0,1,599.98,599.98,0.0,1.0
712563,21,0,21,20896.26,20896.26,0.0,1.0
539547,16,0,16,2991.68,2991.68,0.0,1.0
640221,1,0,1,276.26,276.26,0.0,1.0
576733,4,0,4,502.76,502.76,0.0,1.0
734783,12,0,12,28186.56,28186.56,0.0,1.0
719514,4,0,4,2225.32,2225.32,0.0,1.0
676709,1,0,1,104.99,104.99,0.0,1.0
676710,1,0,1,1461.16,1461.16,0.0,1.0
734762,1,0,1,620.38,620.38,0.0,1.0
712543,22,0,22,43215.259999999995,43215.259999999995,0.0,1.0
640134,1,0,1,154.4,154.4,0.0,1.0
539542,1,0,1,354.17,354.17,0.0,1.0
734828,11,0,11,6706.48,6706.48,0.0,1.0
640127,1,0,1,245.59,245.59,0.0,1.0
404890,2,0,2,1223.94,1223.94,0.0,1.0
640094,1,0,1,223.81,223.81,0.0,1.0
734841,4,0,4,6143.24,6143.24,0.0,1.0
734842,1,0,1,924.02,924.02,0.0,1.0
676720,2,0,2,1146.98,1146.98,0.0,1.0
519336,1,0,1,736.01,736.01,0.0,1.0
576884,9,0,9,12440.25,12440.25,0.0,1.0
640370,2,0,2,1147.0,1147.0,0.0,1.0
676613,5,0,5,4269.700000000001,4269.700000000001,0.0,1.0
640009,2,0,2,2780.7,2780.7,0.0,1.0
734694,3,0,3,1783.08,1783.08,0.0,1.0
712663,1,0,1,139.29,139.29,0.0,1.0
640635,6,0,6,4972.3099999999995,4972.3099999999995,0.0,1.0
576379,3,0,3,629.9399999999999,629.9399999999999,0.0,1.0
492621,1,0,1,56.64,56.64,0.0,1.0
640592,1,0,1,180.13,180.13,0.0,1.0
676481,3,0,3,1605.78,1605.78,0.0,1.0
640586,3,0,3,5397.299999999999,5397.299999999999,0.0,1.0
640578,1,0,1,141.53,141.53,0.0,1.0
734689,1,0,1,276.45,276.45,0.0,1.0
576446,1,0,1,1881.98,1881.98,0.0,1.0
